city,date,pm25,pm10,o3,no2,so2,co,hour,day_of_week,month,is_weekend,season,aqi,dew,temperature,humidity,wind,no,nh3,wind_direction,pressure,feels_like,weather,weather_description
jharsuguda,2020-04-02 00:00:00,156.0,75.0,16.0,7.0,4.0,7.0,0,3,4,0,spring,,,,,,,,,,,,
jharsuguda,2020-04-03 00:00:00,,29.0,20.0,8.0,2.0,,0,4,4,0,spring,,,,,,,,,,,,
jharsuguda,2020-04-04 00:00:00,146.0,77.0,59.0,,1.0,2.0,0,5,4,1,spring,,,,,,,,,,,,
jharsuguda,2020-04-05 00:00:00,87.0,69.0,51.0,,,3.0,0,6,4,1,spring,,,,,,,,,,,,
jharsuguda,2020-04-06 00:00:00,109.0,323.0,11.0,,2.0,9.0,0,0,4,0,spring,,,,,,,,,,,,
jharsuguda,2020-04-08 00:00:00,106.0,3.0,10.0,3.0,3.0,,0,2,4,0,spring,,,,,,,,,,,,
jharsuguda,2020-04-09 00:00:00,131.0,48.0,6.0,2.0,4.0,27.0,0,3,4,0,spring,,,,,,,,,,,,
jharsuguda,2020-04-10 00:00:00,,64.0,8.0,4.0,4.0,2.0,0,4,4,0,spring,,,,,,,,,,,,
jharsuguda,2020-04-11 00:00:00,164.0,102.0,32.0,6.0,6.0,9.0,0,5,4,1,spring,,,,,,,,,,,,
jharsuguda,2020-04-12 00:00:00,169.0,103.0,32.0,3.0,15.0,11.0,0,6,4,1,spring,,,,,,,,,,,,
jharsuguda,2020-05-01 00:00:00,144.0,75.0,24.0,6.0,1.0,12.0,0,4,5,0,spring,,,,,,,,,,,,
jharsuguda,2020-05-02 00:00:00,153.0,93.0,16.0,5.0,3.0,4.0,0,5,5,1,spring,,,,,,,,,,,,
jharsuguda,2020-05-03 00:00:00,,30.0,18.0,6.0,1.0,,0,6,5,1,spring,,,,,,,,,,,,
jharsuguda,2020-05-04 00:00:00,144.0,169.0,34.0,,2.0,2.0,0,0,5,0,spring,,,,,,,,,,,,
jharsuguda,2020-05-05 00:00:00,120.0,61.0,49.0,,,3.0,0,1,5,0,spring,,,,,,,,,,,,
jharsuguda,2020-05-06 00:00:00,70.0,99.0,17.0,,2.0,5.0,0,2,5,0,spring,,,,,,,,,,,,
jharsuguda,2020-05-08 00:00:00,7.0,39.0,7.0,3.0,4.0,1.0,0,4,5,0,spring,,,,,,,,,,,,
jharsuguda,2020-05-09 00:00:00,96.0,,,,,,0,5,5,1,spring,,,,,,,,,,,,
jharsuguda,2020-05-10 00:00:00,133.0,49.0,7.0,4.0,3.0,3.0,0,6,5,1,spring,,,,,,,,,,,,
jharsuguda,2020-05-11 00:00:00,163.0,85.0,23.0,5.0,7.0,8.0,0,0,5,0,spring,,,,,,,,,,,,
jharsuguda,2020-05-12 00:00:00,166.0,112.0,33.0,2.0,7.0,12.0,0,1,5,0,spring,,,,,,,,,,,,
jharsuguda,2020-06-01 00:00:00,121.0,97.0,20.0,9.0,2.0,13.0,0,0,6,0,summer,,,,,,,,,,,,
jharsuguda,2020-06-02 00:00:00,154.0,74.0,14.0,5.0,1.0,,0,1,6,0,summer,,,,,,,,,,,,
jharsuguda,2020-06-03 00:00:00,,30.0,17.0,5.0,1.0,,0,2,6,0,summer,,,,,,,,,,,,
jharsuguda,2020-06-04 00:00:00,164.0,105.0,43.0,,2.0,2.0,0,3,6,0,summer,,,,,,,,,,,,
jharsuguda,2020-06-05 00:00:00,112.0,48.0,41.0,,,3.0,0,4,6,0,summer,,,,,,,,,,,,
jharsuguda,2020-06-06 00:00:00,185.0,,,,,,0,5,6,1,summer,,,,,,,,,,,,
jharsuguda,2020-06-08 00:00:00,85.0,39.0,9.0,2.0,4.0,1.0,0,0,6,0,summer,,,,,,,,,,,,
jharsuguda,2020-06-09 00:00:00,,61.0,11.0,1.0,5.0,13.0,0,1,6,0,summer,,,,,,,,,,,,
jharsuguda,2020-06-10 00:00:00,85.0,44.0,6.0,4.0,3.0,6.0,0,2,6,0,summer,,,,,,,,,,,,
jharsuguda,2020-06-11 00:00:00,156.0,80.0,12.0,6.0,5.0,9.0,0,3,6,0,summer,,,,,,,,,,,,
jharsuguda,2020-06-12 00:00:00,171.0,139.0,35.0,4.0,19.0,11.0,0,4,6,0,summer,,,,,,,,,,,,
jharsuguda,2020-07-01 00:00:00,151.0,79.0,22.0,7.0,1.0,13.0,0,2,7,0,summer,,,,,,,,,,,,
jharsuguda,2020-07-02 00:00:00,135.0,70.0,12.0,7.0,2.0,,0,3,7,0,summer,,,,,,,,,,,,
jharsuguda,2020-07-03 00:00:00,,36.0,19.0,3.0,,,0,4,7,0,summer,,,,,,,,,,,,
jharsuguda,2020-07-04 00:00:00,154.0,68.0,40.0,,2.0,2.0,0,5,7,1,summer,,,,,,,,,,,,
jharsuguda,2020-07-05 00:00:00,78.0,59.0,36.0,,,3.0,0,6,7,1,summer,,,,,,,,,,,,
jharsuguda,2020-07-08 00:00:00,70.0,32.0,8.0,2.0,3.0,,0,2,7,0,summer,,,,,,,,,,,,
jharsuguda,2020-07-09 00:00:00,130.0,92.0,14.0,,6.0,3.0,0,3,7,0,summer,,,,,,,,,,,,
jharsuguda,2020-07-10 00:00:00,85.0,65.0,8.0,4.0,8.0,6.0,0,4,7,0,summer,,,,,,,,,,,,
jharsuguda,2020-07-11 00:00:00,148.0,112.0,32.0,6.0,6.0,10.0,0,5,7,1,summer,,,,,,,,,,,,
jharsuguda,2020-07-12 00:00:00,192.0,109.0,30.0,2.0,11.0,11.0,0,6,7,1,summer,,,,,,,,,,,,
jharsuguda,2020-08-01 00:00:00,151.0,80.0,16.0,4.0,1.0,13.0,0,5,8,1,summer,,,,,,,,,,,,
jharsuguda,2020-08-02 00:00:00,123.0,87.0,31.0,7.0,1.0,,0,6,8,1,summer,,,,,,,,,,,,
jharsuguda,2020-08-03 00:00:00,,45.0,26.0,7.0,2.0,1.0,0,0,8,0,summer,,,,,,,,,,,,
jharsuguda,2020-08-04 00:00:00,125.0,99.0,20.0,,2.0,3.0,0,1,8,0,summer,,,,,,,,,,,,
jharsuguda,2020-08-05 00:00:00,96.0,80.0,44.0,,,3.0,0,2,8,0,summer,,,,,,,,,,,,
jharsuguda,2020-08-08 00:00:00,69.0,51.0,14.0,2.0,5.0,,0,5,8,1,summer,,,,,,,,,,,,
jharsuguda,2020-08-09 00:00:00,182.0,61.0,11.0,,5.0,10.0,0,6,8,1,summer,,,,,,,,,,,,
jharsuguda,2020-08-10 00:00:00,125.0,75.0,6.0,5.0,13.0,6.0,0,0,8,0,summer,,,,,,,,,,,,
