city,date,pm25,pm10,o3,no2,so2,co
jharsuguda,2021-04-01,165.0,116.0,29.0,4.0,8.0,13.0
jharsuguda,2021-04-02,124.0,93.0,27.0,4.0,14.0,15.0
jharsuguda,2021-04-03,184.0,131.0,54.0,6.0,3.0,12.0
jharsuguda,2021-04-04,76.0,44.0,28.0,6.0,7.0,12.0
jharsuguda,2021-04-05,56.0,37.0,16.0,,6.0,10.0
jharsuguda,2021-04-06,82.0,44.0,14.0,6.0,,9.0
jharsuguda,2021-04-07,,41.0,8.0,33.0,14.0,
jharsuguda,2021-04-08,48.0,30.0,4.0,,15.0,7.0
jharsuguda,2021-04-09,62.0,27.0,2.0,2.0,14.0,7.0
jharsuguda,2021-04-10,,54.0,,1.0,18.0,7.0
jharsuguda,2021-04-11,97.0,58.0,11.0,3.0,16.0,8.0
jharsuguda,2021-04-12,78.0,44.0,43.0,8.0,13.0,8.0
jharsuguda,2021-05-01,173.0,107.0,31.0,4.0,17.0,12.0
jharsuguda,2021-05-02,152.0,97.0,34.0,5.0,11.0,14.0
jharsuguda,2021-05-03,195.0,101.0,39.0,6.0,3.0,11.0
jharsuguda,2021-05-04,79.0,72.0,30.0,9.0,7.0,13.0
jharsuguda,2021-05-05,60.0,44.0,18.0,,6.0,10.0
jharsuguda,2021-05-06,63.0,42.0,21.0,6.0,,12.0
jharsuguda,2021-05-07,31.0,35.0,3.0,34.0,14.0,
jharsuguda,2021-05-08,48.0,27.0,2.0,,20.0,8.0
jharsuguda,2021-05-09,46.0,14.0,1.0,2.0,11.0,7.0
jharsuguda,2021-05-10,,27.0,,,14.0,7.0
jharsuguda,2021-05-11,93.0,54.0,47.0,3.0,13.0,8.0
jharsuguda,2021-05-12,52.0,22.0,23.0,8.0,10.0,8.0
jharsuguda,2021-06-01,163.0,102.0,27.0,4.0,12.0,12.0
jharsuguda,2021-06-02,161.0,61.0,31.0,5.0,7.0,12.0
jharsuguda,2021-06-03,170.0,137.0,43.0,5.0,3.0,15.0
jharsuguda,2021-06-04,102.0,93.0,27.0,11.0,9.0,13.0
jharsuguda,2021-06-05,68.0,37.0,21.0,,5.0,9.0
jharsuguda,2021-06-06,20.0,60.0,19.0,,,10.0
jharsuguda,2021-06-07,54.0,33.0,12.0,34.0,11.0,18.0
jharsuguda,2021-06-08,50.0,,,,,
jharsuguda,2021-06-09,28.0,26.0,,2.0,10.0,7.0
jharsuguda,2021-06-10,,34.0,,,15.0,7.0
jharsuguda,2021-06-11,93.0,55.0,54.0,3.0,14.0,7.0
jharsuguda,2021-06-12,53.0,24.0,25.0,8.0,10.0,8.0
jharsuguda,2021-07-01,162.0,103.0,30.0,4.0,10.0,12.0
jharsuguda,2021-07-02,113.0,79.0,33.0,6.0,7.0,13.0
